Zone,Org_District,AC_Name,Panchayat_Total,Panchayat_Target_Win,Panchayat_Target_Opposition,Municipality_Total,Municipality_Target_Win,Municipality_Target_Opposition,Corporation_Total,Corporation_Target_Win,Corporation_Target_Opposition
Alappuzha,Alappuzha North,Alappuzha,4,0,2,1,0,1,0,0,0
Alappuzha,Alappuzha North,Ambalappuzha,5,3,2,0,0,0,0,0,0
Alappuzha,Alappuzha North,Aroor,10,6,2,0,0,0,0,0,0
Alappuzha,Alappuzha North,Cherthala,7,1,0,1,0,0,0,0,0
Alappuzha,Alappuzha North,Kuttanad,13,1,1,0,0,0,0,0,0
Alappuzha,Alappuzha South,Chenganur,10,9,0,1,1,0,0,0,0
Alappuzha,Alappuzha South,Haripad,10,4,0,1,1,0,0,0,0
Alappuzha,Alappuzha South,Kayamkulam,6,4,0,1,0,0,0,0,0
Alappuzha,Alappuzha South,Mavelikkara,7,6,0,1,1,0,0,0,0
Alappuzha,Idukki North,Devikulam,12,6,2,0,0,0,0,0,0
Alappuzha,Idukki North,Thodupuzha,12,2,2,1,1,0,0,0,0
Alappuzha,Idukki South,Idukki,9,1,0,1,0,0,0,0,0
Alappuzha,Idukki South,Peerumade,9,2,1,0,0,0,0,0,0
Alappuzha,Idukki South,Udumbanchola,10,0,3,0,0,0,0,0,0
Alappuzha,Kottayam East,Changanassery,5,3,0,1,1,0,0,0,0
Alappuzha,Kottayam East,Kanjirappally,9,4,1,0,0,0,0,0,0
Alappuzha,Kottayam East,Poonjar,9,6,0,1,0,0,0,0,0
Alappuzha,Kottayam East,Puthuppally,8,2,0,0,0,0,0,0,0
Alappuzha,Kottayam West,Ettumanoor,6,1,1,1,0,1,0,0,0
Alappuzha,Kottayam West,Kaduthuruthy,11,1,2,0,0,0,0,0,0
Alappuzha,Kottayam West,Kottayam,2,1,0,1,1,0,0,0,0
Alappuzha,Kottayam West,Pala,12,5,1,1,0,0,0,0,0
Alappuzha,Kottayam West,Vaikom,9,1,2,1,1,0,0,0,0
