Zone,Org_District,AC_Name,Mandal_Name,Panchayat_Total,Panchayat_Target_Win,Panchayat_Target_Opposition,Municipality_Total,Municipality_Target_Win,Municipality_Target_Opposition,Corporation_Total,Corporation_Target_Win,Corporation_Target_Opposition
Alappuzha,Alappuzha North,Alappuzha,Alappuzha,1,0,1,1,0,1,0,0,0
Alappuzha,Alappuzha North,Alappuzha,Mararikkulam,3,0,1,0,0,0,0,0,0
Alappuzha,Alappuzha North,Ambalappuzha,Ambalappuzha,4,2,2,0,0,0,0,0,0
Alappuzha,Alappuzha North,Ambalappuzha,Mullakkal,1,1,0,0,0,0,0,0,0
Alappuzha,Alappuzha North,Aroor,Aroor,5,3,1,0,0,0,0,0,0
Alappuzha,Alappuzha North,Aroor,Panavally,5,3,1,0,0,0,0,0,0
Alappuzha,Alappuzha North,Cherthala,Cherthala,3,0,0,1,0,0,0,0,0
Alappuzha,Alappuzha North,Cherthala,Muhamma,4,1,0,0,0,0,0,0,0
Alappuzha,Alappuzha North,Kuttanad,Kuttanadu,7,1,0,0,0,0,0,0,0
Alappuzha,Alappuzha North,Kuttanad,Thakazhy,6,0,1,0,0,0,0,0,0
Alappuzha,Alappuzha South,Chenganur,Chengannur,5,5,0,1,1,0,0,0,0
Alappuzha,Alappuzha South,Chenganur,Mannar,5,4,0,0,0,0,0,0,0
Alappuzha,Alappuzha South,Haripad,Haripad,4,2,0,1,1,0,0,0,0
Alappuzha,Alappuzha South,Haripad,Karthikappalli,6,2,0,0,0,0,0,0,0
Alappuzha,Alappuzha South,Kayamkulam,Chettikulangara,3,2,0,0,0,0,0,0,0
Alappuzha,Alappuzha South,Kayamkulam,Kayamkulam,3,2,0,1,0,0,0,0,0
Alappuzha,Alappuzha South,Mavelikkara,Charummoodu,3,2,0,0,0,0,0,0,0
Alappuzha,Alappuzha South,Mavelikkara,Mavelikkara,4,4,0,1,1,0,0,0,0
Alappuzha,Idukki North,Devikulam,Adimali,5,4,0,0,0,0,0,0,0
Alappuzha,Idukki North,Devikulam,Devikulam,7,2,2,0,0,0,0,0,0
