Zone,Org District,AC,Org Mandal,LBName,Target
Thiruvananthapuram,Kollam West,Kollam,Thrikkadavoor,Thrikkaruva Gramapanchayath,Opposition
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Thiruvalla,Thiruvalla,Opposition
Thiruvananthapuram,Kollam East,Pathanapuram,Kunnikkodu,Melila Gramapanchayath,Opposition
Thiruvananthapuram,Pathanamthitta,Konni,Chittar,Chittar Gramapanchayath,Opposition
Thiruvananthapuram,Kollam West,Eravipuram,Eravipuram,Mayyanad Grama Panchayat,Opposition
Thiruvananthapuram,Pathanamthitta,Aranmula,Aranmula,Eraviperoor,Opposition
Thiruvananthapuram,Kollam East,Chadayamangalam,Chithara,Ittiva Gramapanchayath,Opposition
Thiruvananthapuram,Kollam East,Pathanapuram,Pathanapuram,Piravanthur Gramapanchayat,Opposition
Thiruvananthapuram,Kollam East,Kunnathur,Sasthamcotta,Sasthamcotta Gramapanchayath,Opposition
Thiruvananthapuram,Kollam East,Pathanapuram,Kunnikkodu,Talavoor Gramapanchayat,Opposition
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Mallappally,Kallooppara Gramapanchayath,Opposition
Thiruvananthapuram,Kollam East,Kunnathur,Sasthamcotta,East Kallada Gramapanchayat,Opposition
Thiruvananthapuram,Kollam West,Chavara,Chavara,Kollam,Opposition
Thiruvananthapuram,Kollam East,Kottarakkara,Kottarakkara,Ummannoor Gramapanchayath,Opposition
Thiruvananthapuram,Thiruvananthapuram South,Aruvikkara,Aruvikkara,Aruvikkara,Opposition
Thiruvananthapuram,Kollam West,Chathannoor,Paravur,Paravoor,Opposition
Thiruvananthapuram,Thiruvananthapuram South,Aruvikkara,Aryanadu,Vithura Gramapanchayath,Opposition
Thiruvananthapuram,Thiruvananthapuram South,Kattakkada,Kattakkada,Kattakada Gramapanchayath,Opposition
Thiruvananthapuram,Thiruvananthapuram South,Parasala,Parassala,Kunnathukal Gramapanchayat,Opposition
Thiruvananthapuram,Kollam West,Karunagappally,Karunagappally,Kulasekharapuram Grama Panchayat,Opposition
Kozhikode,Kannur South,Thalassery,Thalassery,Thalassery,Win
Thiruvananthapuram,Pathanamthitta,Adoor,Adoor,Adoor,NA
Thiruvananthapuram,Kollam West,Karunagappally,Karunagappally,Karunagappally,Win
Ernakulam,Ernakulam City,Thripunithura,Thrippunithura,Thrippunithura,Win
Alappuzha,Alappuzha South,Mavelikkara,Mavelikkara,Mavelikkara,Win
Alappuzha,Kottayam West,Vaikom,Vaikom,Vaikom,Win
Thiruvananthapuram,Thiruvananthapuram North,Nedumangad,Nedumangad,Nedumangad,Win
Palakkad,Palakkad West,Ottapalam,Ottapalam,Ottappalam,Win
Thiruvananthapuram,Thiruvananthapuram North,Varkala,Varkala,Edava,NA
Thiruvananthapuram,Thiruvananthapuram North,Attingal,Attingal,Cherunniyoor Grampanchayat,NA
Thiruvananthapuram,Thiruvananthapuram North,Varkala,Varkala,Vettoor Gramapanchayath,NA
Thiruvananthapuram,Thiruvananthapuram North,Chirayinkeezhu,Kadakkavoor,Kadakkavoor Gramapanchayath,NA
Alappuzha,Idukki North,Devikulam,Devikulam,Edamalakkudy Grama Panchayat,Win
Thiruvananthapuram,Thiruvananthapuram South,Neyyattinkara,Neyyattinkara,Neyyattinkara,Win
Thiruvananthapuram,Kollam East,Kottarakkara,Kottarakkara,Kottarakara,Win
Alappuzha,Alappuzha South,Chenganur,Chengannur,Chengannur,Win
Alappuzha,Idukki North,Thodupuzha,Vannappuram,Velliyamattom Gramapanchayat,Opposition
Thiruvananthapuram,Thiruvananthapuram North,Chirayinkeezhu,Kadakkavoor,Anjuthengu,NA
Thiruvananthapuram,Thiruvananthapuram North,Varkala,Navaikulam,Pallikkal (Thiruvananthapuram),NA
Alappuzha,Kottayam West,Kottayam,Kottayam,Kottayam,Win
Alappuzha,Kottayam East,Changanassery,Changanassery,Changanassery,Win
Alappuzha,Idukki North,Devikulam,Devikulam,Chinnakkanal Grampanchayat,Opposition
Alappuzha,Idukki North,Thodupuzha,Thodupuzha,Thodupuzha,Win
Thiruvananthapuram,Thiruvananthapuram North,Attingal,Kilimanoor,Pazhayakunnummel Gramapanchayath,NA
Alappuzha,Idukki North,Thodupuzha,Thodupuzha,Manakkad Gramapanchayath,Win
Alappuzha,Idukki South,Peerumade,Peermade,Vandiperiyar Grampanchayat,Opposition
Alappuzha,Idukki North,Thodupuzha,Thodupuzha,Kumaramangalam Gramapanchayath,Win
Alappuzha,Idukki North,Devikulam,Adimali,Mankulam Gramapanchayath,Win
Ernakulam,Ernakulam North,Aluva,Aluva,Aluva,Win
Palakkad,Malappuram West,Tanur,Tanur,Tavanur,Win
Thiruvananthapuram,Thiruvananthapuram North,Vamanapuram,Palode,Peringamala Gramapanchayath,NA
Thiruvananthapuram,Thiruvananthapuram North,Vamanapuram,Palode,Nanniyode Gramapanchayath,NA
Thiruvananthapuram,Thiruvananthapuram North,Vamanapuram,Vamanapuram,Pullampara Gramapanchayath,NA
