Org District,Panchayat,,,Municipality,,,Corporation,,
,Total,Target Win,Target Opposition,Total,Target Win,Target Opposition,Total,Target Win,Target Opposition
Alappuzha North,39,11,7,2,0,1,0,0,0
Alappuzha South,33,23,0,4,3,0,0,0,0
Ernakulam City,13,4,1,3,1,0,1,0,0
Ernakulam East,36,0,1,4,0,0,0,0,0
Ernakulam North,33,3,1,6,1,3,0,0,0
Idukki North,24,8,4,1,1,0,0,0,0
Idukki South,28,3,4,1,0,0,0,0,0
Kannur North,37,0,0,4,0,0,1,0,0
Kannur South,34,1,3,4,1,1,0,0,0
Kasaragod,38,14,1,3,0,1,0,0,0
Kollam East,41,16,7,2,1,0,0,0,0
Kollam West,27,15,3,2,1,1,1,0,1
Kottayam East,31,15,1,2,1,0,0,0,0
Kottayam West,40,9,6,4,2,1,0,0,0
Kozhikode City,7,1,0,2,0,0,1,0,0
Kozhikode North,36,1,0,3,0,0,0,0,0
Kozhikode Rural,27,2,0,2,0,0,0,0,0
Malappuram Central,29,0,1,4,0,0,0,0,0
Malappuram East,32,0,0,3,0,0,0,0,0
Malappuram West,33,4,0,5,1,0,0,0,0
Palakkad East,45,13,6,2,1,0,0,0,0
Palakkad West,43,6,9,5,2,0,0,0,0
Pathanamthitta,53,29,3,4,2,1,0,0,0
Thiruvananthapuram City,0,0,0,0,0,0,1,1,0
Thiruvananthapuram North,38,25,0,3,3,0,0,0,0
Thiruvananthapuram South,35,23,4,1,1,0,0,0,0
Thrissur City,30,19,0,0,0,0,1,1,0
Thrissur North,29,7,0,4,2,0,0,0,0
Thrissur South,27,12,0,3,2,0,0,0,0
Wayanad,23,3,4,3,0,0,0,0,0
Grand Total,941,267,66,86,26,9,6,2,1
