Zone,Org District,Assembly Constituency,2020 LSG,,2024 GE,,2025 LSG,
,,,VS,Votes,VS,Votes,VS,Votes
Thiruvananthapuram,Pathanamthitta,Adoor,17.37%,28697,26.69%,38528,31.31%,67016
Alappuzha,Alappuzha North,Alappuzha,16.58%,31887,23.86%,46308,25.12%,61314
Palakkad,Palakkad East,Alathur,13.36%,18451,17.91%,22597,21.70%,34449
Ernakulam,Ernakulam North,Aluva,11.01%,17798,11.23%,15444,18.38%,31973
Alappuzha,Alappuzha North,Ambalappuzha,22.05%,19409,32.58%,26288,34.66%,35276
Ernakulam,Ernakulam North,Angamaly,6.62%,10294,7.98%,9774,9.20%,16148
Thiruvananthapuram,Pathanamthitta,Aranmula,18.80%,31479,26.58%,38548,34.25%,73133
Alappuzha,Alappuzha North,Aroor,19.00%,30997,24.41%,32789,32.78%,61356
Thiruvananthapuram,Thiruvananthapuram South,Aruvikkara,19.05%,28502,28.19%,38351,34.86%,65490
Thiruvananthapuram,Thiruvananthapuram North,Attingal,22.94%,35887,37.12%,53041,39.65%,78151
Kozhikode,Kannur North,Azhikode,9.96%,26050,13.57%,39017,14.57%,50308
Kozhikode,Kozhikode Rural,Balussery,9.78%,19485,12.22%,22588,13.22%,29268
Kozhikode,Kozhikode City,Beypore,12.70%,14263,14.63%,16179,15.67%,20677
Thiruvananthapuram,Kollam East,Chadayamangalam,15.45%,25284,16.32%,23064,20.52%,41686
Ernakulam,Thrissur South,Chalakudy,10.85%,16355,10.04%,13513,20.83%,35254
Alappuzha,Kottayam East,Changanassery,13.92%,18323,12.73%,14276,29.83%,52111
Thiruvananthapuram,Kollam West,Chathannoor,23.83%,34949,25.20%,30850,34.43%,61810
Thiruvananthapuram,Kollam West,Chavara,13.95%,57758,15.58%,50063,21.07%,196928
Ernakulam,Thrissur North,Chelakkara,19.96%,32244,20.07%,26483,29.02%,57940
Alappuzha,Alappuzha South,Chenganur,24.51%,36147,20.64%,25524,37.55%,70969
Alappuzha,Alappuzha North,Cherthala,14.20%,25585,24.21%,41471,26.64%,54826
Thiruvananthapuram,Thiruvananthapuram North,Chirayinkeezhu,18.16%,28086,31.25%,40246,34.25%,66225
Palakkad,Palakkad East,Chittur,9.41%,14341,17.21%,24171,18.70%,32869
Alappuzha,Idukki North,Devikulam,7.93%,5183,7.28%,9220,25.89%,33482
Kozhikode,Kannur South,Dharmadam,8.34%,13274,10.56%,16581,12.37%,21873
Kozhikode,Kozhikode Rural,Elathur,13.46%,18282,17.85%,23878,25.43%,38625
Ernakulam,Ernakulam City,Eranakulam,2.48%,1369,4.80%,2422,5.13%,3574
Thiruvananthapuram,Kollam West,Eravipuram,5.54%,5074,4.63%,3942,8.33%,10107
Palakkad,Malappuram East,Ernaad,1.96%,3160,7.04%,9443,8.04%,14215
Alappuzha,Kottayam West,Ettumanoor,12.94%,16491,21.93%,24410,25.47%,39720
Ernakulam,Thrissur North,Guruvayoor,14.46%,25208,28.63%,49656,30.50%,73333
Alappuzha,Alappuzha South,Haripad,17.91%,27034,34.29%,47699,36.03%,63903
Alappuzha,Idukki South,Idukki,7.51%,9783,12.23%,14898,15.68%,27135
Kozhikode,Kannur North,Irikkur,3.98%,5963,9.52%,13865,10.52%,18494
Ernakulam,Thrissur South,Irinjalakuda,22.89%,34956,39.24%,42319,40.24%,78231
Alappuzha,Kottayam West,Kaduthuruthy,10.08%,14402,17.78%,20925,21.46%,39199
Ernakulam,Thrissur South,Kaipamangalam,19.25%,26136,15.61%,19105,24.96%,41639
Ernakulam,Ernakulam North,Kalamassery,12.21%,18591,14.93%,21136,24.65%,43932
Kozhikode,Kannur North,Kalliasseri,4.86%,7144,11.77%,16881,12.77%,22222
Palakkad,Wayanad,Kalpetta,9.21%,14306,16.20%,24248,18.99%,34919
