Zone	Org District	AC	Org Mandal	LBName	2020 LSG		2024 GE		2025 LSG	
					VS	Votes	VS	Votes	VS	Votes
Thiruvananthapuram	Kollam West	Kollam	Thrikkadavoor	Thrikkaruva Gramapanchayath	15.87%	2632	13.90%	1738	25%	5100
Thiruvananthapuram	Pathanamthitta	Thiruvalla	Thiruvalla	Thiruvalla	15.69%	4905	25.70%	7041	26.70%	12205
Thiruvananthapuram	Kollam East	Pathanapuram	Kunnikkodu	Melila Gramapanchayath	16.26%	2272	12.50%	1490	25%	4402
Thiruvananthapuram	Pathanamthitta	Konni	Chittar	Chittar Gramapanchayath	16.61%	1796	23.30%	2204	25%	3380
Thiruvananthapuram	Kollam West	Eravipuram	Eravipuram	Mayyanad Grama Panchayat	16.63%	5074	13.90%	3942	25%	10107
Thiruvananthapuram	Pathanamthitta	Aranmula	Aranmula	Eraviperoor	17.28%	2615	23.70%	3392	24.70%	5212
Thiruvananthapuram	Kollam East	Chadayamangalam	Chithara	Ittiva Gramapanchayath	17.23%	4084	17.20%	3492	25%	7620
Thiruvananthapuram	Kollam East	Pathanapuram	Pathanapuram	Piravanthur Gramapanchayat	17.77%	3826	15.50%	2735	25%	7133
Thiruvananthapuram	Kollam East	Kunnathur	Sasthamcotta	Sasthamcotta Gramapanchayath	17.90%	4087	14.70%	3042	25%	6745
Thiruvananthapuram	Kollam East	Pathanapuram	Kunnikkodu	Talavoor Gramapanchayat	18.44%	4077	18%	3268	25%	6754
Thiruvananthapuram	Pathanamthitta	Thiruvalla	Mallappally	Kallooppara Gramapanchayath	12.35%	1360	20.30%	1972	25%	3799
Thiruvananthapuram	Kollam East	Kunnathur	Sasthamcotta	East Kallada Gramapanchayat	20.52%	2815	12.80%	1509	25%	4230
Thiruvananthapuram	Kollam West	Chavara	Chavara	Kollam	22.02%	44934	17.50%	35648	25%	173004
Thiruvananthapuram	Kollam East	Kottarakkara	Kottarakkara	Ummannoor Gramapanchayath	25.30%	5443	13.50%	2496	26.30%	7154
Thiruvananthapuram	Thiruvananthapuram South	Aruvikkara	Aruvikkara	Aruvikkara	13.41%	3092	26.30%	5284	27.30%	8013
Thiruvananthapuram	Kollam West	Chathannoor	Paravur	Paravoor	20.48%	4772	27.60%	6450	28.60%	8267
Thiruvananthapuram	Thiruvananthapuram South	Aruvikkara	Aryanadu	Vithura Gramapanchayath	19.99%	3412	28.10%	4185	29.10%	6353
Thiruvananthapuram	Thiruvananthapuram South	Kattakkada	Kattakkada	Kattakada Gramapanchayath	24.17%	6165	29.30%	6971	30.30%	9698
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Parassala	Kunnathukal Gramapanchayat	23.20%	5967	31.40%	7089	32.40%	10354
Thiruvananthapuram	Kollam West	Karunagappally	Karunagappally	Kulasekharapuram Grama Panchayat	18.83%	5826	31.50%	9125	32.50%	11909
Kozhikode 	Kannur South	Thalassery	Thalassery	Thalassery	23.43%	12650	NA	NA	39%	27359
Thiruvananthapuram	Pathanamthitta	Adoor	Adoor	Adoor	8.86%	1668	25.10%	3905	26.10%	6570
Thiruvananthapuram	Kollam West	Karunagappally	Karunagappally	Karunagappally	18.96%	6460	28.80%	8585	39%	15740
Ernakulam 	Ernakulam City	Thripunithura	Thrippunithura	Thrippunithura	27.60%	14661	30.10%	15865	39%	26072
Alappuzha	Alappuzha South	Mavelikkara	Mavelikkara	Mavelikkara	30.41%	5359	22.50%	3481	39%	8699
Alappuzha	Kottayam West	Vaikom	Vaikom	Vaikom	20.15%	3196	31.80%	4384	39%	7559
Thiruvananthapuram	Thiruvananthapuram North	Nedumangad	Nedumangad	Nedumangad	20.40%	8522	31.90%	11706	39%	20416
Palakkad 	Palakkad West	Ottapalam	Ottapalam	Ottappalam	24.11%	7944	31.90%	NA	39%	16494
Thiruvananthapuram	Thiruvananthapuram North	Varkala	Varkala	Edava	18.50%	2969	27.20%	4133	28.20%	6123
Thiruvananthapuram	Thiruvananthapuram North	Attingal	Attingal	Cherunniyoor Grampanchayat	16.19%	1853	39%	4338	40%	5787
Thiruvananthapuram	Thiruvananthapuram North	Varkala	Varkala	Vettoor Gramapanchayath	7.49%	800	25%	2374	26%	3840
Thiruvananthapuram	Thiruvananthapuram North	Chirayinkeezhu	Kadakkavoor	Kadakkavoor Gramapanchayath	20.15%	2974	44.50%	5294	45.50%	8822
Alappuzha	Idukki North	Devikulam	Devikulam	Edamalakkudy Grama Panchayat	32.03%	378	NA	NA	39%	681
Thiruvananthapuram	Thiruvananthapuram South	Neyyattinkara	Neyyattinkara	Neyyattinkara	23.24%	11384	32.40%	14950	39%	23640
Thiruvananthapuram	Kollam East	Kottarakkara	Kottarakkara	Kottarakara	17.30%	3209	12.80%	2220	39%	9499
Alappuzha	Alappuzha South	Chenganur	Chengannur	Chengannur	17.46%	2582	16.90%	2465	39%	7942
Alappuzha	Idukki North	Thodupuzha	Vannappuram	Velliyamattom Gramapanchayat	5.85%	752	NA	NA	25%	3781
Thiruvananthapuram	Thiruvananthapuram North	Chirayinkeezhu	Kadakkavoor	Anjuthengu	4.95%	526	14.70%	1221	15.70%	2020
Thiruvananthapuram	Thiruvananthapuram North	Varkala	Navaikulam	Pallikkal (Thiruvananthapuram)	18.90%	2043	26.80%	NA	27.80%	3828
