Zone,Org District,AC,Org Mandal,LBName,2020 LSG,,2024 GE,,2025 LSG,
,,,,,VS,Votes,VS,Votes,VS,Votes
Thiruvananthapuram,Kollam West,Kollam,Thrikkadavoor,Thrikkaruva Gramapanchayath,15.87%,2632,13.9%,1738,25%,5100
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Thiruvalla,Thiruvalla,15.69%,4905,25.7%,7041,26.7%,12205
Thiruvananthapuram,Kollam East,Pathanapuram,Kunnikkodu,Melila Gramapanchayath,16.26%,2272,12.5%,1490,25%,4402
Thiruvananthapuram,Pathanamthitta,Konni,Chittar,Chittar Gramapanchayath,16.61%,1796,23.3%,2204,25%,3380
Thiruvananthapuram,Kollam West,Eravipuram,Eravipuram,Mayyanad Grama Panchayat,16.63%,5074,13.9%,3942,25%,10107
Thiruvananthapuram,Pathanamthitta,Aranmula,Aranmula,Eraviperoor,17.28%,2615,23.7%,3392,24.7%,5212
Thiruvananthapuram,Kollam East,Chadayamangalam,Chithara,Ittiva Gramapanchayath,17.23%,4084,17.2%,3492,25%,7620
Thiruvananthapuram,Kollam East,Pathanapuram,Pathanapuram,Piravanthur Gramapanchayat,17.77%,3826,15.5%,2735,25%,7133
Thiruvananthapuram,Kollam East,Kunnathur,Sasthamcotta,Sasthamcotta Gramapanchayath,17.9%,4087,14.7%,3042,25%,6745
Thiruvananthapuram,Kollam East,Pathanapuram,Kunnikkodu,Talavoor Gramapanchayat,18.44%,4077,18%,3268,25%,6754
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Mallappally,Kallooppara Gramapanchayath,12.35%,1360,20.3%,1972,25%,3799
Thiruvananthapuram,Kollam East,Kunnathur,Sasthamcotta,East Kallada Gramapanchayat,20.52%,2815,12.8%,1509,25%,4230
Thiruvananthapuram,Kollam West,Chavara,Chavara,Kollam,22.02%,44934,17.5%,35648,25%,173004
Thiruvananthapuram,Kollam West,Kollam,Thrikkadavoor,Kollam,NA,NA,NA,NA,NA,NA
Thiruvananthapuram,Kollam West,Kollam,Kollam,Kollam,NA,NA,NA,NA,NA%,NA
Thiruvananthapuram,Kollam West,Eravipuram,Kilikolloor,Kollam,NA,NA,NA,NA,NA%,NA
Thiruvananthapuram,Kollam West,Eravipuram,Eravipuram,Kollam,NA,NA,NA,NA,NA%,NA
Thiruvananthapuram,Kollam East,Kottarakkara,Kottarakkara,Ummannoor Gramapanchayath,25.3%,5443,13.5%,2496,26.3%,7154
Thiruvananthapuram,Thiruvananthapuram South,Aruvikkara,Aruvikkara,Aruvikkara,13.41%,3092,26.3%,5284,27.3%,8013
Thiruvananthapuram,Kollam West,Chathannoor,Paravur,Paravoor,20.48%,4772,27.6%,6450,28.6%,8267
Thiruvananthapuram,Thiruvananthapuram South,Aruvikkara,Aryanadu,Vithura Gramapanchayath,19.99%,3412,28.1%,4185,29.1%,6353
Thiruvananthapuram,Thiruvananthapuram South,Kattakkada,Kattakkada,Kattakada Gramapanchayath,24.17%,6165,29.3%,6971,30.3%,9698
Thiruvananthapuram,Thiruvananthapuram South,Parasala,Parassala,Kunnathukal Gramapanchayat,23.2%,5967,31.4%,7089,32.4%,10354
Thiruvananthapuram,Kollam West,Karunagappally,Karunagappally,Kulasekharapuram Grama Panchayat,18.83%,5826,31.5%,9125,32.5%,11909
Kozhikode,Kannur South,Thalassery,Thalassery,Thalassery,23.43%,12650,NA,NA,39%,27359
Thiruvananthapuram,Pathanamthitta,Adoor,Adoor,Adoor,8.86%,1668,25.1%,3905,26.1%,6570
Thiruvananthapuram,Kollam West,Karunagappally,Karunagappally,Karunagappally,18.96%,6460,28.8%,8585,39%,15740
Ernakulam,Ernakulam City,Thripunithura,Thrippunithura,Thrippunithura,27.6%,14661,30.1%,15865,39%,26072
Alappuzha,Alappuzha South,Mavelikkara,Mavelikkara,Mavelikkara,30.41%,5359,22.5%,3481,39%,8699
Alappuzha,Kottayam West,Vaikom,Vaikom,Vaikom,20.15%,3196,31.8%,4384,39%,7559
Thiruvananthapuram,Thiruvananthapuram North,Nedumangad,Nedumangad,Nedumangad,20.4%,8522,31.9%,11706,39%,20416
Palakkad,Palakkad West,Ottapalam,Ottapalam,Ottappalam,24.11%,7944,31.9%,NA,39%,16494
Thiruvananthapuram,Thiruvananthapuram North,Varkala,Varkala,Edava,18.5%,2969,27.2%,4133,28.2%,6123
Thiruvananthapuram,Thiruvananthapuram North,Attingal,Attingal,Cherunniyoor Grampanchayat,16.19%,1853,39%,4338,40%,5787
Thiruvananthapuram,Thiruvananthapuram North,Varkala,Varkala,Vettoor Gramapanchayath,7.49%,800,25%,2374,26%,3840
Thiruvananthapuram,Thiruvananthapuram North,Chirayinkeezhu,Kadakkavoor,Kadakkavoor Gramapanchayath,20.15%,2974,44.5%,5294,45.5%,8822
Alappuzha,Idukki North,Devikulam,Devikulam,Edamalakkudy Grama Panchayat,32.03%,378,NA,NA,39%,681
Thiruvananthapuram,Thiruvananthapuram South,Neyyattinkara,Neyyattinkara,Neyyattinkara,23.24%,11384,32.4%,14950,39%,23640
Thiruvananthapuram,Kollam East,Kottarakkara,Kottarakkara,Kottarakara,17.3%,3209,12.8%,2220,39%,9499
Alappuzha,Alappuzha South,Chenganur,Chengannur,Chengannur,17.46%,2582,16.9%,2465,39%,7942
Alappuzha,Idukki North,Thodupuzha,Vannappuram,Velliyamattom Gramapanchayat,5.85%,752,NA,NA,25%,3781
Thiruvananthapuram,Thiruvananthapuram North,Chirayinkeezhu,Kadakkavoor,Anjuthengu,4.95%,526,14.7%,1221,15.7%,2020
Thiruvananthapuram,Thiruvananthapuram North,Varkala,Navaikulam,Pallikkal (Thiruvananthapuram),18.9%,2043,26.8%,NA,27.8%,3828
Alappuzha,Kottayam West,Kottayam,Kottayam,Kottayam,17.88%,13394,23.2%,NA,39%,37434
Alappuzha,Kottayam East,Changanassery,Changanassery,Changanassery,16.28%,4734,16.3%,3979,39%,14443
Alappuzha,Idukki North,Devikulam,Devikulam,Chinnakkanal Grampanchayat,6.05%,457,7%,499,25%,2422
Alappuzha,Idukki North,Thodupuzha,Thodupuzha,Thodupuzha,16.39%,5360,NA,NA,39%,14799
Thiruvananthapuram,Thiruvananthapuram North,Attingal,Kilimanoor,Pazhayakunnummel Gramapanchayath,11.1%,1701,30.1%,4329,31.1%,6263
