District Name	Org District	AC Name	Org Mandal	Local Body	Ward Name
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Parassala	Parassala Grama Panchayat	Kottaykkakam
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Parassala	Parassala Grama Panchayat	Nediyaamkode
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Parassala	Parassala Grama Panchayat	Peruvila
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Parassala	Parassala Grama Panchayat	Pulloorkkonam
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Parassala	Parassala Grama Panchayat	Parasuvaykkal
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Parassala	Parassala Grama Panchayat	Aadumankadu
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Parassala	Parassala Grama Panchayat	Idichaykkaplamoodu
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Parassala	Parassala Grama Panchayat	Pavathiyanvila
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Parassala	Parassala Grama Panchayat	Karumanoor
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Parassala	Parassala Grama Panchayat	Puthenkada
Thiruvananthapuram	Thiruvananthapuram South	Neyyattinkara	Kulathoor	Karode Grama Panchayat	Plamoottukkada
Thiruvananthapuram	Thiruvananthapuram South	Neyyattinkara	Kulathoor	Karode Grama Panchayat	Pottayilkkada
Thiruvananthapuram	Thiruvananthapuram South	Neyyattinkara	Kulathoor	Karode Grama Panchayat	Ayira
Thiruvananthapuram	Thiruvananthapuram South	Neyyattinkara	Kulathoor	Karode Grama Panchayat	Vadoorkkonam
Thiruvananthapuram	Thiruvananthapuram South	Neyyattinkara	Kulathoor	Karode Grama Panchayat	Manchamkuzhi
Kollam	Kollam West	Karunagappally	Oachira	Oachira Grama Panchayat	Oachira East
Kollam	Kollam West	Karunagappally	Oachira	Oachira Grama Panchayat	Oachira West
Kollam	Kollam West	Karunagappally	Oachira	Oachira Grama Panchayat	Oachira North
Kollam	Kollam West	Karunagappally	Oachira	Oachira Grama Panchayat	Oachira South
Kollam	Kollam West	Karunagappally	Karunagappally	Karunagappally Municipality	Ward 1
Kollam	Kollam West	Karunagappally	Karunagappally	Karunagappally Municipality	Ward 2
Kollam	Kollam West	Karunagappally	Karunagappally	Karunagappally Municipality	Ward 3
Ernakulam	Ernakulam City	Kochi	Kochi Central	Kochi Corporation	Division 1
Ernakulam	Ernakulam City	Kochi	Kochi Central	Kochi Corporation	Division 2
Ernakulam	Ernakulam City	Kochi	Kochi Central	Kochi Corporation	Division 3
