district,division name
Thiruvananthapuram,Venganoor
Thiruvananthapuram,Pallichal
Thiruvananthapuram,Balaramapuram
Thiruvananthapuram,Kunnathukal
Thiruvananthapuram,Malayinkeezhu
Thiruvananthapuram,Navaikulam
Thiruvananthapuram,Chirayinkeezhu
Thiruvananthapuram,Manamboor
Thiruvananthapuram,Mudakkal
Thiruvananthapuram,Chemmaruthy
Kollam,Anchal
Kollam,Kalayapuram
Kollam,Veliyam
Kollam,Vettikkala
Kollam,Kulasekharapuram
Kollam,Oachira
Kollam,Ithikkara
Kollam,Kalluvathukkal
Kollam,Perinad
Pathanamthitta,Ranni
Pathanamthitta,Kulanada
Pathanamthitta,Pramadam
Pathanamthitta,Kozhencherry
Pathanamthitta,Elanthoor
Alappuzha,Mulakuzha
Alappuzha,Mannar
Alappuzha,Venmony
Alappuzha,Chennithala
Alappuzha,Pathiyoor
Alappuzha,Ambalappuzha
Kottayam,Kidangoor
Kottayam,Kumarakom
Kottayam,Bharananganam
Kottayam,Vaikom
Kottayam,Thalayazham
Kottayam,Poonjar
Kottayam,Ponkunnam
Ernakulam,Nedumbassery
Thrissur,Cherpu
Thrissur,Mullassery
Thrissur,Thriprayar
Thrissur,Anthikad
Thrissur,Kattoor
Thrissur,Eriyad
Thrissur,Parappukkara
Thrissur,Thiruvilwamala
Palakkad,Puthuppariyaram
Palakkad,Malampuzha
Palakkad,Parali
Palakkad,Kongad
Palakkad,Puthussery
Palakkad,Lakkidi
Palakkad,Vaniyamkulam
Palakkad,Sreekrishnapuram
Malappuram,Edappal
Wayanad,Pulpally
Wayanad,Mullankolli
Kasaragod,Vorkady
Kasaragod,Puthige
Kasaragod,Edneer
Kasaragod,Delampady
