Org District,AC Name,Org Mandal,Local Body
Kollam West,Kollam,Thrikkadavoor,Thrikkaruva Gramapanchayath
Pathanamthitta,Thiruvalla,Thiruvalla,Thiruvalla
Kollam East,Pathanapuram,Kunnikkodu,Melila Gramapanchayath
Pathanamthitta,Konni,Chittar,Chittar Gramapanchayath
Kollam West,Eravipuram,Eravipuram,Mayyanad Grama Panchayat
Pathanamthitta,Aranmula,Aranmula,Eraviperoor
Kollam East,Chadayamangalam,Chithara,Ittiva Gramapanchayath
Kollam East,Pathanapuram,Pathanapuram,Piravanthur Gramapanchayat
Kollam East,Kunnathur,Sasthamcotta,Sasthamcotta Gramapanchayath
Kollam East,Pathanapuram,Kunnikkodu,Talavoor Gramapanchayat
Pathanamthitta,Thiruvalla,Mallappally,Kallooppara Gramapanchayath
Kollam East,Kunnathur,Sasthamcotta,East Kallada Gramapanchayat
Kollam West,Chavara,Chavara,Kollam
Kollam East,Kottarakkara,Kottarakkara,Ummannoor Gramapanchayath
Thiruvananthapuram South,Aruvikkara,Aruvikkara,Aruvikkara
Kollam West,Chathannoor,Paravur,Paravoor
Thiruvananthapuram South,Aruvikkara,Aryanadu,Vithura Gramapanchayath
Thiruvananthapuram South,Kattakkada,Kattakkada,Kattakada Gramapanchayath
Thiruvananthapuram South,Parasala,Parassala,Kunnathukal Gramapanchayat
Kollam West,Karunagappally,Karunagappally,Kulasekharapuram Grama Panchayat
Thiruvananthapuram North,Varkala,Varkala,Varkala
Thiruvananthapuram North,Attingal,Attingal,Attingal
Thiruvananthapuram North,Nedumangad,Nedumangad,Nedumangad
Thiruvananthapuram South,Neyyattinkara,Neyyattinkara,Neyyattinkara
Thiruvananthapuram North,Attingal,Attingal,Ottoor Grampachayat
Thiruvananthapuram North,Attingal,Attingal,Manampoor Gramapanchayat
Thiruvananthapuram North,Varkala,Navaikulam,Chemmaruthy Gramapanchayath
Thiruvananthapuram North,Varkala,Varkala,Elakamon
Thiruvananthapuram North,Varkala,Varkala,Edava
Thiruvananthapuram North,Attingal,Attingal,Cherunniyoor Grampanchayat
Thiruvananthapuram North,Varkala,Varkala,Vettoor Gramapanchayath
Thiruvananthapuram North,Chirayinkeezhu,Kadakkavoor,Kadakkavoor Gramapanchayath
Thiruvananthapuram North,Chirayinkeezhu,Kadakkavoor,Mudakkal Gramapanchayath
Thiruvananthapuram North,Chirayinkeezhu,Kadakkavoor,Kizhuvilam Gramapanchayat
Thiruvananthapuram North,Chirayinkeezhu,Chirayinkeezhu,Chirayinkeezhu Gramapanchayath
Thiruvananthapuram North,Attingal,Attingal,Vakkom Gramapanchayath
Idukki North,Thodupuzha,Vannappuram,Velliyamattom Gramapanchayat
Thiruvananthapuram North,Chirayinkeezhu,Kadakkavoor,Anjuthengu
Thiruvananthapuram North,Varkala,Navaikulam,Pallikkal (Thiruvananthapuram)
Thiruvananthapuram North,Varkala,Navaikulam,Madavoor Grampanchayat
Thiruvananthapuram North,Varkala,Navaikulam,Navaikulam Gramapanchayath
Idukki North,Devikulam,Devikulam,Chinnakkanal Grampanchayat
Thiruvananthapuram North,Attingal,Kilimanoor,Kilimanoor Grama Panchayath
Thiruvananthapuram North,Attingal,Kilimanoor,Pazhayakunnummel Gramapanchayath
Thiruvananthapuram North,Attingal,Kilimanoor,Nagaroor Grampanchayat
Idukki South,Peerumade,Peermade,Vandiperiyar Grampanchayat
Thiruvananthapuram North,Attingal,Kilimanoor,Karavaram Gramapanchayath
